layer_index,layer_name,from_node,to_node,weight
1,input_to_hidden1,1,1,0.52302086353302
1,input_to_hidden1,1,2,-0.19240139424800873
1,input_to_hidden1,1,3,0.3789978325366974
1,input_to_hidden1,1,4,-0.5243663191795349
1,input_to_hidden1,1,5,-0.13034024834632874
1,input_to_hidden1,1,6,0.4296704828739166
1,input_to_hidden1,1,7,0.4312763512134552
1,input_to_hidden1,1,8,-0.5393872857093811
1,input_to_hidden1,1,9,-0.2244591861963272
1,input_to_hidden1,1,10,-0.5340319275856018
1,input_to_hidden1,1,11,-0.6821927428245544
1,input_to_hidden1,1,12,0.2176530957221985
1,input_to_hidden1,2,1,0.09617211669683456
1,input_to_hidden1,2,2,-0.04556604474782944
1,input_to_hidden1,2,3,-0.27905958890914917
1,input_to_hidden1,2,4,0.12581700086593628
1,input_to_hidden1,2,5,-0.20497219264507294
1,input_to_hidden1,2,6,0.05144629254937172
1,input_to_hidden1,2,7,0.19388429820537567
1,input_to_hidden1,2,8,0.07978285849094391
1,input_to_hidden1,2,9,0.1269543468952179
1,input_to_hidden1,2,10,-0.5666994452476501
1,input_to_hidden1,2,11,-0.07533089071512222
1,input_to_hidden1,2,12,-0.38322386145591736
1,input_to_hidden1,3,1,0.4182663559913635
1,input_to_hidden1,3,2,0.10188812762498856
1,input_to_hidden1,3,3,0.12885527312755585
1,input_to_hidden1,3,4,-0.06525886803865433
1,input_to_hidden1,3,5,-0.5287511348724365
1,input_to_hidden1,3,6,-0.0022308076731860638
1,input_to_hidden1,3,7,0.22302812337875366
1,input_to_hidden1,3,8,0.3465679883956909
1,input_to_hidden1,3,9,-0.20564918220043182
1,input_to_hidden1,3,10,0.3147523105144501
1,input_to_hidden1,3,11,-0.24972578883171082
1,input_to_hidden1,3,12,0.18700732290744781
1,input_to_hidden1,4,1,0.32462769746780396
1,input_to_hidden1,4,2,0.10183935612440109
1,input_to_hidden1,4,3,0.5320366024971008
1,input_to_hidden1,4,4,-0.10136696696281433
