epoch,processor_unit_units_status_cpu_board_cpu_fan_avg,processor_unit_units_status_cpu_board_cpu_fan_max,processor_unit_units_status_cpu_board_cpu_bd_fan1_avg,processor_unit_units_status_cpu_board_cpu_bd_fan1_max,processor_unit_units_status_cpu_board_cpu_bd_fan2_avg,processor_unit_units_status_cpu_board_cpu_bd_fan2_max,processor_unit_units_status_cpu_board_cpu_bd_temp_avg,processor_unit_units_status_cpu_board_cpu_bd_temp_max,processor_unit_units_status_cpu_board_cpu_core_temp_avg,processor_unit_units_status_cpu_board_cpu_core_temp_max,processor_unit_units_status_cpu_board_gpu_core_temp_avg,processor_unit_units_status_cpu_board_gpu_core_temp_max,processor_unit_units_status_cpu_board_cpu_core_vol_avg,processor_unit_units_status_cpu_board_cpu_core_vol_max,processor_unit_units_status_cpu_board_cpu_bd_vbat_avg,processor_unit_units_status_cpu_board_cpu_bd_vbat_max,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_avg,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_max,processor_unit_units_status_cpu_board_cpu_bd_p5v_avg,processor_unit_units_status_cpu_board_cpu_bd_p5v_max,processor_unit_units_status_cpu_board_cpu_bd_p12v_avg,processor_unit_units_status_cpu_board_cpu_bd_p12v_max
1000,0.023987079,0.14145827,0.0136454515,0.055951253,0.018625954,0.06913382,0.028916156,0.10619849,0.019699575,0.14938867,0.014686199,0.067955434,0.009908728,0.05512114,0.012804778,0.07030904,0.037678503,0.24203324,0.0121028805,0.047428012,0.015958216,0.07546151
2000,0.012172409,0.06637499,0.011780947,0.056455545,0.019115113,0.0639202,0.024270646,0.09384453,0.011236012,0.06541112,0.005174697,0.050392628,0.0097479895,0.067473665,0.007151393,0.048947066,0.04139062,0.24207783,0.015810812,0.052744865,0.0065314807,0.046439707
3000,0.010124115,0.054356456,0.0060070585,0.042108737,0.019773891,0.06639969,0.022913694,0.10367447,0.0167586,0.08202949,0.008775189,0.04632646,0.009621117,0.07049437,0.00837597,0.050171226,0.043377675,0.24601436,0.012216311,0.06745505,0.009996106,0.044531047
4000,0.011463572,0.059887648,0.0070501603,0.048133932,0.018511936,0.06868577,0.025735041,0.0992074,0.013451986,0.07777321,0.008977759,0.04165341,0.0066757537,0.050779626,0.00579456,0.041781247,0.04028503,0.24067742,0.01400178,0.06877756,0.0063113878,0.0397017
5000,0.008500462,0.05460304,0.0041450756,0.032860123,0.01712967,0.07315594,0.017237406,0.10090494,0.015790526,0.0781064,0.009236609,0.039319456,0.011119554,0.053400666,0.005289865,0.045431316,0.038967647,0.24259418,0.010980309,0.05224526,0.004614378,0.0423038
6000,0.0074677523,0.054336786,0.0047173123,0.04272592,0.020114154,0.06906307,0.018169448,0.093718946,0.011966717,0.061374784,0.0079843,0.04721673,0.005762657,0.039084036,0.011591122,0.04610482,0.041753512,0.2441842,0.01123235,0.05356872,0.00873255,0.04240793
7000,0.0072339517,0.05211012,0.004797521,0.05136192,0.017363617,0.07322323,0.019178336,0.08977902,0.013086304,0.068858996,0.008081835,0.04897231,0.0069855163,0.05131066,0.006187748,0.041688576,0.040763624,0.23993045,0.0143525675,0.046439648,0.004997042,0.0386281
8000,0.0046687955,0.03692025,0.008683704,0.03469649,0.020298164,0.06408912,0.008336073,0.06481022,0.0070127635,0.053632542,0.008738001,0.04986167,0.007444478,0.028032918,0.0059824614,0.037664197,0.04321937,0.24253291,0.015271842,0.044418573,0.004131685,0.037849188
9000,0.0068169567,0.04133071,0.004180718,0.034795016,0.01934181,0.06353754,0.007988683,0.058826476,0.00546082,0.05433525,0.006561651,0.043494314,0.006987478,0.030553818,0.013437433,0.03400482,0.047305603,0.2414487,0.017486798,0.05278194,0.006411836,0.02991563
10000,0.0046060644,0.03769794,0.007828751,0.035065204,0.018346993,0.06849587,0.008840748,0.054228783,0.0055494914,0.046389237,0.006083637,0.041737482,0.0060769795,0.03275925,0.007722231,0.052822527,0.04006684,0.24068928,0.013443196,0.045822978,0.009320765,0.041630805
11000,0.0063685444,0.03713706,0.005227697,0.036779106,0.017811835,0.072756946,0.009130748,0.05587569,0.004535874,0.047963247,0.007067855,0.041089118,0.0074060587,0.04098095,0.010596804,0.0482349,0.041925646,0.24321711,0.0147428345,0.05202222,0.008579204,0.04599452
12000,0.005938769,0.033206522,0.004079274,0.038676977,0.018510146,0.06988549,0.007343184,0.052712977,0.006190022,0.045902833,0.005960658,0.046266854,0.0070256046,0.03677243,0.00917053,0.04656035,0.043461863,0.2406013,0.008594708,0.053580165,0.005594941,0.033960044
13000,0.005098917,0.035119057,0.0035866685,0.03615147,0.018206337,0.07206571,0.009422243,0.05125892,0.0061054314,0.04168212,0.003922685,0.043369234,0.0069453157,0.038777515,0.0045944643,0.04136009,0.040290333,0.24017638,0.008868018,0.049414694,0.0070278207,0.050540447
13424,0.011608794,0.02961731,0.004336212,0.026460499,0.019662628,0.06223029,0.007190885,0.025859296,0.0025968126,0.022887588,0.004009412,0.025627837,0.004264543,0.023656666,0.004658043,0.042212784,0.009384241,0.099886835,0.0075030536,0.036682785,0.0045726793,0.030150317
