layer_index,from_node,to_node,weight,type
1,1,1,0.3066514,weight
1,1,2,-1.6703331,weight
1,1,3,-0.83022237,weight
1,1,4,-0.08008425,weight
1,1,5,0.60443974,weight
1,1,6,-0.09732612,weight
1,1,7,1.5912533,weight
1,1,8,1.9381281,weight
1,1,9,0.53110677,weight
1,1,10,-1.8366085,weight
1,1,11,-0.30447823,weight
1,1,12,-0.2751163,weight
1,1,13,1.6400205,weight
1,1,14,0.41556856,weight
1,1,15,0.22679746,weight
1,1,16,0.99024177,weight
1,1,17,0.11701832,weight
1,1,18,-0.407106,weight
1,1,19,1.9963586,weight
1,1,20,-0.36587086,weight
1,1,21,-0.47596577,weight
1,1,22,0.24994498,weight
1,1,23,-0.40119818,weight
1,2,1,-1.8417654,weight
1,2,2,-0.5968384,weight
1,2,3,-0.14326538,weight
1,2,4,0.35824916,weight
1,2,5,-0.11905993,weight
1,2,6,0.043586995,weight
1,2,7,-1.2117904,weight
1,2,8,0.73541445,weight
1,2,9,-0.57230085,weight
1,2,10,0.49563134,weight
1,2,11,-0.3038082,weight
1,2,12,0.08555936,weight
1,2,13,-3.2070382,weight
1,2,14,-0.45945573,weight
1,2,15,-0.45764467,weight
1,2,16,2.4300354,weight
1,2,17,0.33672822,weight
1,2,18,0.24680814,weight
1,2,19,-0.9790046,weight
1,2,20,2.854475,weight
1,2,21,-0.51117975,weight
1,2,22,0.21592076,weight
1,2,23,-0.532546,weight
1,3,1,0.9629602,weight
1,3,2,-1.5049152,weight
1,3,3,0.60023874,weight
1,3,4,-0.5632742,weight
1,3,5,0.022115048,weight
1,3,6,0.27367276,weight
1,3,7,0.45670423,weight
1,3,8,-0.20219427,weight
1,3,9,-0.85452706,weight
1,3,10,0.3265589,weight
1,3,11,0.47806367,weight
1,3,12,-0.16027507,weight
1,3,13,-0.60899335,weight
1,3,14,0.05539029,weight
1,3,15,-1.62704,weight
1,3,16,0.14326106,weight
1,3,17,0.3043253,weight
1,3,18,0.67852575,weight
1,3,19,-0.56088996,weight
1,3,20,0.84380406,weight
1,3,21,-0.82669413,weight
1,3,22,-2.9724333,weight
1,3,23,-0.79813814,weight
1,4,1,0.9714955,weight
1,4,2,1.0279766,weight
1,4,3,-0.29977244,weight
1,4,4,-1.0685352,weight
1,4,5,-1.190259,weight
1,4,6,0.21631433,weight
1,4,7,1.0648475,weight
1,4,8,0.37369615,weight
1,4,9,-1.9274696,weight
1,4,10,0.5795341,weight
1,4,11,0.80953705,weight
1,4,12,-0.4610278,weight
1,4,13,1.0146368,weight
1,4,14,0.14285052,weight
1,4,15,1.2975764,weight
1,4,16,1.3442922,weight
1,4,17,1.1477739,weight
1,4,18,0.064696185,weight
1,4,19,-0.65319926,weight
