epoch,processor_unit_units_status_cpu_board_cpu_fan_avg,processor_unit_units_status_cpu_board_cpu_fan_max,processor_unit_units_status_cpu_board_cpu_bd_fan1_avg,processor_unit_units_status_cpu_board_cpu_bd_fan1_max,processor_unit_units_status_cpu_board_cpu_bd_fan2_avg,processor_unit_units_status_cpu_board_cpu_bd_fan2_max,processor_unit_units_status_cpu_board_cpu_bd_temp_avg,processor_unit_units_status_cpu_board_cpu_bd_temp_max,processor_unit_units_status_cpu_board_cpu_core_temp_avg,processor_unit_units_status_cpu_board_cpu_core_temp_max,processor_unit_units_status_cpu_board_gpu_core_temp_avg,processor_unit_units_status_cpu_board_gpu_core_temp_max,processor_unit_units_status_cpu_board_cpu_core_vol_avg,processor_unit_units_status_cpu_board_cpu_core_vol_max,processor_unit_units_status_cpu_board_cpu_bd_vbat_avg,processor_unit_units_status_cpu_board_cpu_bd_vbat_max,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_avg,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_max,processor_unit_units_status_cpu_board_cpu_bd_p5v_avg,processor_unit_units_status_cpu_board_cpu_bd_p5v_max,processor_unit_units_status_cpu_board_cpu_bd_p12v_avg,processor_unit_units_status_cpu_board_cpu_bd_p12v_max
1000,0.0073608747,0.05446434,0.00398117,0.034534425,0.024436016,0.06834942,0.014364785,0.09359968,0.008250625,0.07932311,0.008101509,0.047122657,0.008447901,0.051092505,0.0069768736,0.07176566,0.008593052,0.043824434,0.0074223983,0.06550647,0.0050315643,0.04712689
2000,0.0065089283,0.018636078,0.003931837,0.021148488,0.010100705,0.03726524,0.0034027493,0.019320339,0.0039647724,0.026919901,0.0053559095,0.017854195,0.006073505,0.022548378,0.002902204,0.017954767,0.0062171216,0.02314469,0.0028636474,0.018978119,0.00385029,0.014576316
3000,0.0025194031,0.011749774,0.0016167939,0.01269263,0.0022149945,0.012503743,0.0046934024,0.012570322,0.002306829,0.014886141,0.0030310256,0.010766149,0.0036833624,0.013027709,0.0015039658,0.011071026,0.0075609046,0.019065857,0.0023052287,0.010646105,0.0055369292,0.012656748
4000,0.0023189464,0.0065427423,0.0014126045,0.007918149,0.0011339892,0.005913794,0.0010079114,0.006686777,0.0012973415,0.00615865,0.0023299109,0.007527888,0.003231413,0.012314171,0.0011917332,0.005677402,0.004577967,0.011823485,0.00097486033,0.008620634,0.0018356359,0.0063131377
5000,0.0015539838,0.005653918,0.0012315516,0.004638016,0.00158568,0.0062769055,0.0012196596,0.004908204,0.0012709699,0.0057833195,0.00086591917,0.005119741,0.0030317644,0.008676171,0.0016562376,0.009314358,0.001319889,0.00579232,0.0012184647,0.007384883,0.0011153789,0.0071496964
6000,0.0013972542,0.005239755,0.0017970256,0.0077110827,0.0010398548,0.0055403113,0.0036287664,0.007643968,0.0024324753,0.008108318,0.0015773651,0.0049001127,0.000757348,0.004883077,0.0010028793,0.006236315,0.0013481964,0.0051238537,0.001216587,0.008844628,0.000775499,0.0048047304
7000,0.00080267026,0.005873367,0.0014391035,0.004663348,0.0033366648,0.00851202,0.0013698671,0.0075358152,0.0012917009,0.0070089996,0.001229354,0.0042768344,0.0044168667,0.008015931,0.0036448867,0.01009661,0.0019459791,0.0048410296,0.0006355804,0.0058379904,0.0012939937,0.0059580207
8000,0.00053160446,0.0042625666,0.00065078057,0.0045828223,0.002064784,0.007537842,0.0009589377,0.0055420697,0.0021389269,0.008591235,0.0011262465,0.0036390498,0.0019164057,0.005090058,0.0009237947,0.0058585405,0.00213467,0.0066251755,0.0024235481,0.007339418,0.0007473029,0.0043547153
9000,0.0020799527,0.0055920184,0.0011455814,0.005349934,0.0019073404,0.006009221,0.0019757878,0.006078899,0.0032747653,0.0077903867,0.0019908082,0.005458176,0.002698281,0.007271599,0.001463838,0.006030917,0.00089601206,0.0050943494,0.0005965042,0.0060857073,0.0010522193,0.0068972544
10000,0.0020578618,0.0052708387,0.0008591477,0.0038615167,0.0014752623,0.005098045,0.0014708815,0.00491482,0.00071318576,0.004698336,0.0010795777,0.0039922595,0.001302131,0.0061323047,0.0010360315,0.007299423,0.002228041,0.005497515,0.0017105328,0.007379128,0.0015669358,0.0069890916
11000,0.0011448613,0.005934179,0.0021480196,0.0067329407,0.00076151534,0.004025638,0.0015323103,0.0054273605,0.0007117041,0.0037968755,0.0021090053,0.005133331,0.0010931045,0.006789565,0.00068381545,0.0044056177,0.0009773099,0.0040392876,0.0009138157,0.0047572255,0.00164572,0.0049924254
12000,0.0018190796,0.004910171,0.0018240939,0.005451679,0.0013393486,0.005100906,0.0010055455,0.004965663,0.0007082616,0.0047997236,0.002197924,0.0065724254,0.0005604781,0.0039726496,0.0005113492,0.0032239556,0.0013840091,0.0059056445,0.00066638057,0.0056906478,0.0011559023,0.0044364035
13000,0.00171785,0.005176127,0.002003576,0.0047823787,0.0018831581,0.006772399,0.0011317134,0.0039816126,0.0011660614,0.0050373673,0.001823259,0.0051868185,0.0025537978,0.007125616,0.001504649,0.006357789,0.0016565413,0.0048080683,0.001359469,0.006433858,0.0010206224,0.0041529536
14000,0.00097094814,0.0048067123,0.00055139605,0.0050076246,0.0017563467,0.0057275295,0.0006971909,0.0038760304,0.0025390235,0.0073759556,0.0012881035,0.004690528,0.0006659528,0.004240006,0.00047422716,0.0037106872,0.0010067835,0.0054252744,0.0019777268,0.00585407,0.0013334375,0.0049350397
15000,0.0011882397,0.0045459867,0.0005790087,0.004056245,0.0013201376,0.0046182275,0.0005033307,0.0039155483,0.0011536166,0.004282415,0.00082313665,0.0037283301,0.0010746901,0.0049699545,0.0009829607,0.005799055,0.00068746076,0.0039950013,0.0011957538,0.005290091,0.0019023138,0.0049426556
16000,0.0013008915,0.0050964206,0.0006639174,0.003164053,0.00079870265,0.00380975,0.0013618636,0.0067916512,0.0011078807,0.0041039437,0.0013047834,0.004255682,0.0014788458,0.0060021877,0.0010539608,0.005877733,0.00077191606,0.0043851733,0.0009467745,0.0048217312,0.0011244396,0.0044563413
17000,0.0006775102,0.004408896,0.0006322833,0.0037424564,0.0017216097,0.0058342814,0.0004199182,0.0031268597,0.0013327114,0.0044418573,0.0005395074,0.0041800514,0.0010024529,0.0035015345,0.0004339318,0.0025065541,0.0013883703,0.0042752624,0.0007269628,0.0032100081,0.0006338966,0.0030488074
