layer_index,from_node,to_node,weight,type
1,1,1,-0.2816012,weight
1,1,2,0.14786541,weight
1,1,3,-0.28036433,weight
1,1,4,0.44753477,weight
1,1,5,0.36910498,weight
1,1,6,-0.23262781,weight
1,1,7,0.49942335,weight
1,1,8,0.1821604,weight
1,1,9,-0.37963086,weight
1,1,10,-0.19535743,weight
1,1,11,-0.4787228,weight
1,1,12,0.3403816,weight
1,2,1,0.17260413,weight
1,2,2,-0.22914098,weight
1,2,3,0.3941113,weight
1,2,4,-0.26709312,weight
1,2,5,-0.1969955,weight
1,2,6,-0.119608894,weight
1,2,7,0.14710112,weight
1,2,8,0.3632065,weight
1,2,9,0.31806386,weight
1,2,10,0.046750277,weight
1,2,11,0.06379662,weight
1,2,12,0.31116372,weight
1,3,1,-0.39959642,weight
1,3,2,0.5200218,weight
1,3,3,0.06926865,weight
1,3,4,-0.07793833,weight
1,3,5,-0.22946589,weight
1,3,6,0.3383077,weight
1,3,7,0.15236785,weight
1,3,8,0.25476828,weight
1,3,9,0.24833876,weight
1,3,10,-0.22170886,weight
1,3,11,-0.04487626,weight
1,3,12,0.0026833473,weight
1,4,1,-0.5906568,weight
1,4,2,0.21958871,weight
1,4,3,-0.3293513,weight
1,4,4,0.5154067,weight
1,4,5,0.22245303,weight
1,4,6,-0.23219644,weight
1,4,7,-0.107764006,weight
1,4,8,0.3867175,weight
1,4,9,-0.22406158,weight
1,4,10,-0.10029748,weight
1,4,11,-0.05476343,weight
1,4,12,0.28477347,weight
1,5,1,-0.07927368,weight
1,5,2,-0.040844433,weight
1,5,3,-0.061501384,weight
1,5,4,-0.039472513,weight
1,5,5,0.45844984,weight
1,5,6,0.15531506,weight
1,5,7,-0.14194463,weight
1,5,8,0.117209576,weight
1,5,9,-0.25077507,weight
1,5,10,-0.13144818,weight
1,5,11,-0.20696062,weight
1,5,12,0.14836524,weight
1,6,1,-0.2541581,weight
1,6,2,0.3116499,weight
1,6,3,0.0806879,weight
1,6,4,0.15831597,weight
1,6,5,0.18555164,weight
1,6,6,0.25501946,weight
1,6,7,0.37066048,weight
1,6,8,0.035693392,weight
1,6,9,-0.014893919,weight
1,6,10,-0.31697845,weight
1,6,11,0.04200259,weight
1,6,12,0.008530569,weight
1,7,1,-0.00794074,weight
1,7,2,0.21382429,weight
1,7,3,-0.17627086,weight
1,7,4,0.060529366,weight
1,7,5,0.34371382,weight
1,7,6,-0.1417473,weight
1,7,7,0.28804582,weight
1,7,8,-0.13177912,weight
1,7,9,0.020991743,weight
1,7,10,-0.5218691,weight
1,7,11,-0.2904219,weight
1,7,12,0.23256104,weight
1,8,1,-0.3766265,weight
1,8,2,-0.052167494,weight
1,8,3,-0.22985901,weight
1,8,4,-0.21961932,weight
1,8,5,0.32604167,weight
1,8,6,0.0076237526,weight
1,8,7,-0.14207968,weight
1,8,8,-0.018944774,weight
1,8,9,-0.491537,weight
1,8,10,0.1283527,weight
1,8,11,-0.0681267,weight
1,8,12,-0.20490894,weight
1,9,1,-0.4705344,weight
1,9,2,0.3872964,weight
1,9,3,-0.45680204,weight
1,9,4,0.20960572,weight
1,9,5,-0.183118,weight
1,9,6,-0.13175988,weight
1,9,7,-0.1811001,weight
1,9,8,0.29061443,weight
1,9,9,-0.16368148,weight
1,9,10,0.21912177,weight
1,9,11,0.017751,weight
1,9,12,0.33308247,weight
1,10,1,0.3131099,weight
1,10,2,-0.12241316,weight
1,10,3,0.10944437,weight
1,10,4,-0.22492167,weight
1,10,5,-0.026857518,weight
1,10,6,-0.051213186,weight
1,10,7,0.4662518,weight
1,10,8,-0.12667665,weight
1,10,9,-0.22985797,weight
1,10,10,-0.0769558,weight
